Brand,Name,Description,Price,Discount,Product URL,Image
MEDIBLANC,Dental Care White Time Set,sada zubní péče (pro zářivě bílé zuby),535,,https://www.notino.cz/mediblanc/dental-care-white-time-set-sada-zubni-pecepro-zarive-bile-zuby/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275382894_01__221220.jpg
Swissdent,Extreme Promo Kit,sada zubní péče (pro šetrné bělení a ochranu zubní skloviny),599,,https://www.notino.cz/swissdent/extreme-promo-kit-kosmeticka-sada-v/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190150_01-o__200123.jpg
Biorepair,Plus Total Protection,pasta posilující zubní sklovinu 75 ml,106,,https://www.notino.cz/biorepair/plus-protect-pasta-posilujici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//biorepair/brpprow_ktps45_01__170616.jpg
Ecodenta,Green Wild Strawberry Flavoured,zubní pasta pro děti bez fluoridu 75 ml,84,,https://www.notino.cz/ecodenta/green-wild-strawberry-flavoured-zubni-pasta-pro-deti-s-vuni-lesnich-jahod-a-extraktem-z-mrkve/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331743_01-o__160825.jpg
Colgate,Max White Ultra Multi Protect,bělicí zubní pasta 50 ml,190,,https://www.notino.cz/colgate/max-white-ultra-multi-protect-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951563544_01-o__230630.jpg
Marvis,The Mints Classic Strong,zubní pasta,104,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/classic-strong-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395110063_01-o__141111.jpg
Biorepair,Gum Protection Toothpaste,zklidňující zubní pasta podporující regeneraci podrážděných dásní 75 ml,105,,https://www.notino.cz/biorepair/oral-care-gum-protection-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//biorepair/8017331054192_01-o__210825.jpg
Signal,White Now Detox Charcoal,bělicí zubní pasta s aktivním uhlím 75 ml,105,,https://www.notino.cz/signal/white-now-detox-charcoal-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//signal/8710604754200_01-o__200217.jpg
Curaprox,Enzycal 950,zubní pasta 950 ppm 75 ml,142,,https://www.notino.cz/curaprox/enzycal-950-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422436_01-o__150224.jpg
Ecodenta,Green Brilliant Whitening,bělicí zubní pasta s fluoridem pro svěží dech Mint Oil + Sage Extract 100 ml,81,,https://www.notino.cz/ecodenta/green-brilliant-whitening-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001333808_01-o__170112.jpg
Splat,Professional Ultracomplex,bioaktivní zubní pasta pro komplexní péči a bělení citlivých zubů 100 ml,123,,https://www.notino.cz/splat/professional-ultracomplex-bioaktivni-zubni-pasta-pro-komplexni-peci-a-beleni-citlivych-zubu/,https://cdn.notinoimg.com/list_2k//splat/7640168930172_01-o__220909.jpg
Swissdent,Crystal Combo Pack,sada zubní péče,366,,https://www.notino.cz/swissdent/crystal-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//swissdent/7640126890050_01-o__220829.jpg
Perl Weiss,Expert,bělicí zubní pasta 50 ml,129,,https://www.notino.cz/perl-weiss/expert-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890009437_01__240111.jpg
Swissdent,Emergency Kit Red,sada zubní péče (pro šetrné bělení a ochranu zubní skloviny),445,,https://www.notino.cz/swissdent/emergency-kit-red-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190181_01-o__121112.jpg
White Glo,Advantage Cavity Protection,bělicí zubní pasta 140 g,87,,https://www.notino.cz/white-glo/advantage-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-glo/9319871001117_01-o__210524.jpg
Parodontax,Gum And Sens Original,pasta pro kompletní ochranu zubů a svěží dech,113,,https://www.notino.cz/parodontax/gum-and-sens-original-pasta-pro-kompletni-ochranu-zubu-a-svezi-dech-5023273/,https://cdn.notinoimg.com/list_2k//parodontax/5054563120410_01-o__220427.jpg
Ecodenta,Organic Kids Certified Organic Juicy Fruit,dětská zubní pasta 75 ml,88,,https://www.notino.cz/ecodenta/organic-kids-certified-organic-juicy-fruit-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001001400_01-o__211110.jpg
Parodontax,Extra Fresh,zubní pasta proti krvácení dásní,103,,https://www.notino.cz/parodontax/extra-fresh-zubni-pasta-proti-krvaceni-dasni-80292/,https://cdn.notinoimg.com/list_2k//parodontax/3830029294626_01__140428.jpg
Parodontax,Complete Protection Whitening,bělicí zubní pasta s fluoridem,136,,https://www.notino.cz/parodontax/complete-protection-whitening-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//parodontax/5054563039095_01-o__180504.jpg
Barbie,Oral Care Set,sada zubní péče (pro děti),105,,https://www.notino.cz/barbie/oral-care-set-sada-zubni-pecepro-deti/,https://cdn.notinoimg.com/list_2k//barbie/8029241131450_01__220627.jpg
Ecodenta,Sensitive CBD,bioaktivní zubní pasta s CBD 75 ml,91,,https://www.notino.cz/ecodenta/sensitive-cbd-bioaktivni-zubni-pasta-s-cbd/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001005811_01-o__230105.jpg
Blend-a-med,Protect 7 Crystal White,zubní pasta pro kompletní ochranu zubů 75 ml,36,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/protect-7-crystal-white-zubni-pasta-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540390917_01-o__220816.jpg
Soaphoria,Royal Tooth Serum,sérum pro šetrné bělení a ochranu zubní skloviny 50 ml,227,,https://www.notino.cz/soaphoria/royal-tooth-serum-dentalni-serum-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//soaphoria/8586017854178_01-o__240415.jpg
Blend-a-med,3D White Luxe Perfection,bělicí pasta proti skvrnám na zubní sklovině 75 ml,90,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/3d-white-luxe-perfection-belici-pasta-proti-skvrnam-na-zubni-sklovine/,https://cdn.notinoimg.com/list_2k//blend-a-med/4084500743847_01-o__240426.jpg
White Pearl,System PAP Whitening,stomatologický bělicí gel 2x40 ml,1 255,,https://www.notino.cz/white-pearl/system-pap-whitening-belici-gel/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069333213_01-o__221116.jpg
Masha & The Bear,Kids,zubní pasta pro děti s jahodovou příchutí 75 ml,46,,https://www.notino.cz/masha-the-bear/kids-zubni-pasta-pro-deti-s-jahodovou-prichuti/,https://cdn.notinoimg.com/list_2k//masha_the_bear/8029241134000_01__220428.jpg
BEN&ANNA,Natural Toothpaste Sensitive,zubní pasta ve skleněné dóze pro citlivé zuby 100 ml,146,,https://www.notino.cz/benanna/natural-toothpaste-sensitive-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//benanna/4260491220523_01-o__221101.jpg
Swissdent,Crystal Travel Tube,remineralizační zubní pasta s bělicím účinkem 10 ml,86,,https://www.notino.cz/swissdent/crystal-travel-tube-remineralizacni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190716_01-o__221027.jpg
Sensodyne,Complete Protection Whitening,bělicí zubní pasta,135,,https://www.notino.cz/sensodyne/complete-protection-whitening-belici-zubni-pasta-5023271/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563119698_01-o__220920.jpg
Colgate,Naturals Mix,přírodní zubní pasta 3x75 ml,222,,https://www.notino.cz/colgate/naturals-mix-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8590232001217_01-o__230814.jpg
Colgate,Natural Extracts Ultimate Fresh,zubní pasta,77,,https://www.notino.cz/colgate/natural-extract-ultimate-fresh-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951131644_01-o__221128.jpg
Colgate,Max Clean Mineral Scrub,gelová zubní pasta pro svěží dech Tingling Mint 75 ml,65,,https://www.notino.cz/colgate/max-clean-mineral-scrub-gelova-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//colgate/8718951327085_01-o__200602.jpg
Splat,Biomed Gum Health,přírodní zubní pasta 100 g,109,,https://www.notino.cz/splat/biomed-gum-health-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/2800015078395_01-o__220908.jpg
Oral B,Pro Expert Professional Protection,zubní pasta pro ochranu dásní 75 ml,132,-20 % s kódem mix20,https://www.notino.cz/oral-b/pro-expert-professional-protection-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106863_01-o__230904.jpg
Sensodyne,Rapid Whitening,bělicí zubní pasta pro citlivé zuby,122,,https://www.notino.cz/sensodyne/rapid-whitening-belici-zubni-pasta-pro-citlive-zuby-755952/,https://cdn.notinoimg.com/list_2k//sensodyne/8596149002408_01-o__210908.jpg
beBIO,Ewa Chodakowska Sensitive Papaya & Mint,přírodní pasta pro citlivé zuby 100 ml,99,,https://www.notino.cz/bebio/ewa-chodakowska-sensitive-papaya-prirodni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//bebio/5908233661348_01-o__220824.jpg
Sensodyne,Repair & Protect Extra Fresh,zubní pasta pro ochranu zubů a dásní,135,,https://www.notino.cz/sensodyne/repair-protect-extra-fresh-zubni-pasta-pro-ochranu-zubu-a-dasni/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103482_01-o__210908.jpg
Parodontax,Whitening,bělicí zubní pasta proti krvácení dásní,115,,https://www.notino.cz/parodontax/whitening-belici-zubni-pasta-proti-krvaceni-dasni-80256/,https://cdn.notinoimg.com/list_2k//parodontax/5999518582175_01-o__140428.jpg
WOOM,Total+ Toothpaste,posilující zubní pasta 75 ml,140,,https://www.notino.cz/woom/total-toothpaste-posilujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/8420075180308_01-o__220629.jpg
Biorepair,Plus Pro White,zubní pasta pro zářivý úsměv 75 ml,139,,https://www.notino.cz/biorepair/plus-pro-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331055380_01-o__210301.jpg
Swissdent,Gentle Combo Pack,sada pro dokonale čisté zuby Mint,251,,https://www.notino.cz/swissdent/gentle-combo-pack-sada-pro-dokonale-ciste-zuby-mint/,https://cdn.notinoimg.com/list_2k//swissdent/7640126890043_01-o__220829.jpg
Meridol,Complete Care,zubní pasta pro citlivé zuby,143,,https://www.notino.cz/meridol/complete-care-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//meridol/8718951478527_01-o__230807.jpg
Biorepair,Peribioma Pro,zubní pasta pro zdravé dásně a komplexní péči o chrup 75 ml,133,,https://www.notino.cz/biorepair/peribioma-pro-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064115_01-o__220530.jpg
White Pearl,PAP Carbon Whitening,bělicí zubní pasta 75 ml,190,,https://www.notino.cz/white-pearl/pap-carbon-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069333275_01-o__230725.jpg
Sensodyne,Advanced Clean,zubní pasta s fluoridem pro kompletní ochranu zubů 75 ml,111,,https://www.notino.cz/sensodyne/advanced-clean-zubni-pasta-s-fluoridem-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563014757_01-o__170106.jpg
Nickelodeon,Paw Patrol Travel Kit,sada zubní péče pro děti 3y+ Soft 1 ks,99,,https://www.notino.cz/nickelodeon/paw-patrol-travel-kit-sada-zubni-pece-pro-deti/,https://cdn.notinoimg.com/list_2k//nickelodeon/8032979439019_01-o__221206.jpg
White Pearl,PAP Coconut Whitening,bělicí zubní pasta 75 ml,195,,https://www.notino.cz/white-pearl/pap-coconut-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069333299_01-o__230725.jpg
Natura Siberica,Little Siberica BIO,přírodní zubní pasta pro děti s malinovou příchutí 60 g,91,,https://www.notino.cz/natura-siberica/little-siberica-bio-prirodni-zubni-pasta-pro-deti-s-malinovou-prichuti/,https://cdn.notinoimg.com/list_2k//natura-siberica/4743318147857_01-o__210401.jpg
Meridol,Parodont Expert,zubní pasta proti krvácení dásní a parodontóze,414,,https://www.notino.cz/meridol/parodont-expert-zubni-pasta-proti-krvaceni-dasni-a-parodontoze-297934/,https://cdn.notinoimg.com/list_2k//meridol/8590232000494_01-o__230807.jpg
Marvis,The Mints Amarelli Licorice,zubní pasta,106,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/amarelli-licorice-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111749_01-o__171120.jpg
Marvis,The Mints Ginger,zubní pasta,93,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/ginger-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395110285_01-o__141111.jpg
Colgate,Advanced White,bělicí pasta proti skvrnám na zubní sklovině,55,,https://www.notino.cz/colgate/advanced-white-belici-pasta-proti-skvrnam-na-zubni-sklovine/,https://cdn.notinoimg.com/list_2k//colgate/8718951312173_01-o__240229.jpg
Oral B,Professional Enamel Regeneration,bělicí zubní pasta 75 ml,91,-20 % s kódem mix20,https://www.notino.cz/oral-b/professional-regenerate-enamel-gentle-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8001090247582_01-o__220817.jpg
Cannaderm,Cannadent Zásaditá zubní pasta,bylinná zubní pasta s konopným olejem 75 g,223,,https://www.notino.cz/cannaderm/cannadent-zasadita-zubni-pasta/,https://cdn.notinoimg.com/list_2k//cannaderm/cndcanw_ktps10_01__150325.jpg
Signal,White Now,zubní pasta s bělicím účinkem 75 ml,98,,https://www.notino.cz/signal/white-now-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//signal/8717644461068_01-o__230106.jpg
Sensodyne,Sensitivity & Gum Whitening,bělicí zubní pasta pro ochranu zubů a dásní,109,,https://www.notino.cz/sensodyne/sensitivity-gum-whitening-belici-zubni-pasta-pro-ochranu-zubu-a-dasni-577855/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563050816_01-o__210908.jpg
White Glo,Glo Express White,bělicí zubní pasta 115 g,122,,https://www.notino.cz/white-glo/charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002770_01-o__231109.jpg
Venira,Bělící zubní gel,bělicí gel Mint 50 ml,399,,https://www.notino.cz/venira/belici-zubni-gel-mata-belici-gel/,https://cdn.notinoimg.com/list_2k//venira/8594198177122_01-o__230329.jpg
Ecodenta,Super +,přírodní zubní pasta pro děti příchuť Raspberry 75 ml,54,,https://www.notino.cz/ecodenta/super-prirodni-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001334591_01__220606.jpg
Colgate,Total Whitening,bělicí zubní pasta,70,,https://www.notino.cz/colgate/total-whitening-belici-zubni-pasta-584257/,https://cdn.notinoimg.com/list_2k//colgate/8718951226807_01-o__221125.jpg
Peppa Pig,Oral Care Set,dárková sada (pro děti),285,,https://www.notino.cz/peppa-pig/oral-care-set-darkova-sadapro-deti/,https://cdn.notinoimg.com/list_2k//peppa_pig/8029241136820_01__231120.jpg
iWhite,Supreme,bělicí zubní pasta 75 ml,223,,https://www.notino.cz/iwhite/supreme-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//iwhite/5425012534674_01-o__210823.jpg
Blend-a-med,3D White Cool Water,bělicí zubní pasta 75 ml,41,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/3d-white-cool-water-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793138_01-o__230221.jpg
Elgydium,Whitening,zubní pasta s bělicím účinkem 75 ml,110,,https://www.notino.cz/elgydium/whitening-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//elgydium/elgwhtw_ktps10__150504.jpg
Elmex,Sensitive Professional Repair & Prevent,zubní pasta pro citlivé zuby,175,,https://www.notino.cz/elmex/sensitive-professional-repair-prevent-zubni-pasta-pro-citlive-zuby-525836/,https://cdn.notinoimg.com/list_2k//elmex/8718951193765_01-o__190409.jpg
Curasept,Daycare Protection Booster Herbal,gelová zubní pasta 75 ml,170,,https://www.notino.cz/curasept/daycare-protection-booster-herbal-gelova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curasept/8056746073299_01-o__230511.jpg
White Glo,Diamond Series,sada pro bělení zubů,500,,https://www.notino.cz/white-glo/diamond-series-sada-pro-beleni-zubu/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000790_01-o__210524.jpg
Swissdent,4x4 Test The Best,sada zubní péče,305,,https://www.notino.cz/swissdent/4x4-test-the-best-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190419_01-o__220829.jpg
Sensodyne,Sensitivity & Gum,zubní pasta pro citlivé zuby,109,,https://www.notino.cz/sensodyne/sensitivity-gum-zubni-pasta-pro-citlive-zuby-577854/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563157904_01-o__240514.jpg
Lavera,Kids,zubní pasta pro děti 75 ml,123,,https://www.notino.cz/lavera/volume-strength-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//lavera/4021457629220_01-o__191002.jpg
Ecodenta,Extra Fresh and Remineralising,remineralizační zubní pasta 75 ml,61,,https://www.notino.cz/ecodenta/extra-fresh-and-remineralising-remineralizacni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001004913_01__220606.jpg
MEDIBLANC,KIDS Raspberry,dětská zubní pasta Rapsberry 50 ml,157,,https://www.notino.cz/mediblanc/kids-rapsberry-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533123_01-o__220114.jpg
Colgate,Max White Ultra Freshness Pearls,bělicí pasta 50 ml,149,,https://www.notino.cz/colgate/max-white-ultra-freshness-pearls-belici-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951505100_01-o__240229.jpg
Oral B,Professional Sensitivity & Gum Calm Gentle Whitening,bělicí zubní pasta 75 ml,110,-20 % s kódem mix20,https://www.notino.cz/oral-b/professional-sensitivity-gum-calm-gentle-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8001841520285_01-o__220701.jpg
Chicco,Toothpaste 6-24 months,zubní pasta pro děti Apple-Banana 50 ml,89,,https://www.notino.cz/chicco/toothpaste-6-24-months-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8003670743637_01-o__220624.jpg
Blend-a-med,Extra White & Fresh,osvěžující zubní pasta 75 ml,35,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/extra-white-fresh-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540391525_01-o__220816.jpg
Oral B,Gum & Enamel Repair Fresh White,zubní pasta pro svěží dech 75 ml,125,-20 % s kódem mix20,https://www.notino.cz/oral-b/gum-enamel-repair-extra-fresh-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//oral-b/8001090794413_01-o__240304.jpg
Brush Baby,Applemint,zubní pasta pro děti 0 – 36 měsíců 50 ml,88,,https://www.notino.cz/brush-baby/applemint-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//brush_baby/5060178100587_01-o__230613.jpg
Elmex,Sensitive Professional,zubní pasta pro citlivé zuby,175,,https://www.notino.cz/elmex/sensitive-professional-zubni-pasta-pro-citlive-zuby-73517/,https://cdn.notinoimg.com/list_2k//elmex/7610108047536_01-o__140526.jpg
Biorepair,Desensitizing Enamel-Repair Shock Treatment,sada (na zuby),212,,https://www.notino.cz/biorepair/treatment-of-sensitive-teeth-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//biorepair/brpderw_kset10__150318.jpg
My White Secret,Toothpaste Coconut Whip,zubní pasta 60 g,199,,https://www.notino.cz/my-white-secret/toothpaste-coconut-whip-zubni-pasta/,https://cdn.notinoimg.com/list_2k//my-white-secret/5060548390556_01-o__230913.jpg
Eva,Clove,bělicí zubní pudr 3 v 1 30 g,95,,https://www.notino.cz/eva/cloves-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385349_01-o__211115.jpg
BlanX,Intensive Stain Removal,bělicí zubní pasta 75 ml,103,,https://www.notino.cz/blanx/intensive-stain-removal-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blanx/8006320054763_01-o__180221.jpg
Colgate,Total Junior,zubní pasta pro důkladné vyčištění zubů a ústní dutiny pro děti 50 ml,75,,https://www.notino.cz/colgate/total-junior-zubni-pasta-pro-dukladne-vycisteni-zubu-a-ustni-dutiny-pro-deti/,https://cdn.notinoimg.com/list_2k//colgate/8718951433120_01-o__221125.jpg
Pink Elephant,Girls,dárková sada Mouse Mia pro děti,150,,https://www.notino.cz/pink-elephant/girls-darkova-sada-pro-deti-pink/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040425_01__211015.jpg
BlanX,Black,bělicí zubní pasta s aktivním uhlím 75 ml,87,,https://www.notino.cz/blanx/black-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//blanx/8017331053386_01-o__210211.jpg
Tołpa,Dentica Black White,bělicí zubní pasta s aktivním uhlím 75 ml,54,,https://www.notino.cz/tolpa/dentica-black-white-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//tolpa/5902719414213_01-o__210414.jpg
Signal,White Now Detox Coconut,bělicí zubní pasta 75 ml,113,,https://www.notino.cz/signal/white-now-detox-coconut-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8710604754248_01-o__200217.jpg
Curaprox,Aligner,vyživující ochranná pěna 40 ml,596,,https://www.notino.cz/curaprox/aligner-vyzivujici-ochranna-pena/,https://cdn.notinoimg.com/list_2k//curaprox/7612412431353_01-o__240411.jpg
My White Secret,Toothpaste Smooth Mint,zubní pasta 60 g,199,,https://www.notino.cz/my-white-secret/toothpaste-smooth-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//my-white-secret/5060548390549_01-o__230913.jpg
Pink Elephant,Boys,zubní pasta pro děti Beaver 50 ml,26,,https://www.notino.cz/pink-elephant/boys-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040906_01__230116.jpg
Blend-a-med,3D White Arctic Fresh,bělicí zubní pasta 75 ml,32,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/3d-white-arctic-fresh-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793039_01-o__230221.jpg
Ziaja,Kids Cookies 'n' Vanilla Ice Cream,zubní pasta pro děti 50 ml,42,,https://www.notino.cz/ziaja/kids-cookiesn-vanilla-ice-cream-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//ziaja/5901887028055_01-o__150622.jpg
Elmex,Caries Protection Complete Care,osvěžující zubní pasta pro kompletní ochranu zubů,155,,https://www.notino.cz/elmex/caries-protection-complete-care-osvezujici-zubni-pasta-pro-kompletni-ochranu-zubu-6652865/,https://cdn.notinoimg.com/list_2k//elmex/8718951516014_02-o__220929.jpg
Curaprox,Black is White,sada zubní péče,580,,https://www.notino.cz/curaprox/black-is-white-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//curaprox/7612412423686_01-o__151208.jpg
Parodontax,Gum And Sens Whitening,bělicí pasta na zuby,133,,https://www.notino.cz/parodontax/gum-and-sens-whitening-belici-pasta-na-zuby-5023272/,https://cdn.notinoimg.com/list_2k//parodontax/5054563120434_01-o__220427.jpg
Perl Weiss,White & Gloss,bělicí zubní pasta 50 ml,149,,https://www.notino.cz/perl-weiss/white-gloss-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890009314_01__240111.jpg
Be a Unicorn,Naturaverde Oral Care Set,dárková sada (pro děti),288,,https://www.notino.cz/be-a-unicorn/naturaverde-oral-care-set-darkova-sadapro-deti/,https://cdn.notinoimg.com/list_2k//be_a_unicorn/8029241134130_01-o__230517.jpg
Signal,Herbal Fresh,zubní pasta 75 ml,34,,https://www.notino.cz/signal/herbal-fresh-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/sighrfu_ktps05__150511.jpg
Chicco,Toothpaste 1-5 years,zubní pasta pro děti Strawberry 50 ml,99,,https://www.notino.cz/chicco/toothpaste-1-5-years-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8003670743651_01-o__231113.jpg
Elgydium,Anti-Plaque,zubní pasta pro důkladné vyčištění zubů 75 ml,190,,https://www.notino.cz/elgydium/dental-plaque-zubni-pasta-pro-dukladne-vycisteni-zubu/,https://cdn.notinoimg.com/list_2k//elgydium/3577056018596_01-o__210804.jpg
Elmex,Anti-Caries Professional,zubní pasta chránící před zubním kazem,160,,https://www.notino.cz/elmex/anti-caries-professional-zubni-pasta-chranici-pred-zubnim-kazem/,https://cdn.notinoimg.com/list_2k//elmex/8718951279551_01-o__220203.jpg
Splat,Special Blackwood,bělicí zubní pasta příchuť Dark Mint 75 ml,218,,https://www.notino.cz/splat/special-blackwood-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/7640168930288_01-o__220908.jpg
NUK,Teeth,sada zubní péče(pro děti),162,,https://www.notino.cz/nuk/teeth-sada-zubni-pecepro-deti/,https://cdn.notinoimg.com/list_2k//nuk/4008600215769_01__210818.jpg
White Glo,Professional Choice,sada zubní péče,143,,https://www.notino.cz/white-glo/professional-choice-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000615_01-o__210524.jpg
Colgate,Kids 3+ Years,zubní pasta pro děti 3 – 6 let s fluoridem,45,,https://www.notino.cz/colgate/kids-3-years-zubni-pasta-pro-deti-3-6-let-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/8718951321434_01-o__200212.jpg
Signal,24 h Caries Protection,zubní pasta chránící před zubním kazem 75 ml,28,,https://www.notino.cz/signal/24-h-caries-protection-zubni-pasta-chranici-pred-zubnim-kazem/,https://cdn.notinoimg.com/list_2k//signal/8710522427323_01-o__221114.jpg
Elmex,Sensitive Plus Complete Protection,posilující zubní pasta,144,,https://www.notino.cz/elmex/sensitive-plus-complete-protection-posilujici-zubni-pasta-6058209/,https://cdn.notinoimg.com/list_2k//elmex/8718951501904_01-o__220627.jpg
Signal,Natural Elements Integral 8 Camomile,zubní pasta 75 ml,62,,https://www.notino.cz/signal/natural-elements-integral-8-camomile-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181230585_01-o__220812.jpg
Sensodyne,Anti Caries Anti Carries,zubní pasta proti zubnímu kazu,102,,https://www.notino.cz/sensodyne/anti-caries-zubni-pasta-proti-zubnimu-kazu/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563096029_01-o__221027.jpg
Colgate,Max White Expert Original,bělicí zubní pasta,167,,https://www.notino.cz/colgate/max-white-expert-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/7509546064857_01-o__221125.jpg
Colgate,Max White One,bělicí zubní pasta,99,,https://www.notino.cz/colgate/max-white-one-classic-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8714789881188_01-o__221128.jpg
Colgate,Advanced White Volcanic Ash and Baking Soda,přírodní zubní pasta 75,53,,https://www.notino.cz/colgate/advanced-white-volcanic-ash-and-baking-soda-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951555488_01-o__230426.jpg
