Brand,Name,Description,Price,Product URL,Image,Discount Percentage,Discount Description,Discount Amount,Country,Currency,Scraped at
GC,MI Paste Plus,remineralizační ochranný krém pro citlivé zuby s fluoridem,461,https://www.notino.cz/gc/mi-paste-plus-strawberry-remineralizacni-ochranny-krem-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//gc/2800011987264_01-o__160323.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
White Glo,Charcoal,bělicí zubní pasta s aktivním uhlím na cesty 24 g,19,https://www.notino.cz/white-glo/charcoal-belici-zubni-pasta-s-aktivnim-uhlim-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000974_01-o__210524.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Travel Set,"cestovní set Blue(na zuby, jazyk a dásně)",257,https://www.notino.cz/curaprox/travel-set-cestovni-setna-zuby-jazyk-a-dasne/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429879_01-o__220520.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Natura Siberica,Natural Siberian Siberian Pearl,bělicí zubní pasta pro svěží dech 100 g,77,https://www.notino.cz/natura-siberica/natural-siberian-siberian-pearl-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437548_01-o__190611.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Swissdent,Crystal Repair and Whitening,remineralizační zubní pasta s bělicím účinkem 50 ml,305,https://www.notino.cz/swissdent/crystal-repair-and-whitening-remineralizacni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190686_01-o__230711.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Ecodenta,Expert Black Whitening,černá bělicí zubní pasta bez fluoridu,130,https://www.notino.cz/ecodenta/extra-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Signal,White Now Time Correct,zubní pasta 75 ml,99,https://www.notino.cz/signal/white-now-time-correct-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181327186_01-o__230503.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Biorepair,Kids 0-6,zubní pasta pro děti pro obnovení zubní skloviny,55,https://www.notino.cz/biorepair/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Splat,Professional Biocalcium,bioaktivní zubní pasta pro obnovu zubní skloviny a šetrné bělení 100 g,117,https://www.notino.cz/splat/professional-biocalcium-bioaktivni-zubni-pasta-pro-obnovu-zubni-skloviny-a-setrne-beleni/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Natura Siberica,Polar Night,černá bělicí zubní pasta 100 g,78,https://www.notino.cz/natura-siberica/polar-night-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174432253_01-o__180801.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Natura Siberica,Kamchatkan Mineral,přírodní zubní pasta 100 g,77,https://www.notino.cz/natura-siberica/kamchatkan-mineral-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437579_01-o__180801.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Be You,regenerační zubní pasta s bělicím účinkem,240,https://www.notino.cz/curaprox/be-you-rising-star-regeneracni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429503_01-o__220225.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Elmex,Sensitive Whitening,pasta pro přirozeně bílé zuby,112,https://www.notino.cz/elmex/sensitive-whitening-pasta-pro-prirozene-bile-zuby-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Swissdent,Extreme Whitening,intenzivní bělicí zubní pasta 50 ml,283,https://www.notino.cz/swissdent/extreme-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190303_01-o__121205.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Colgate,Max White Sparkle Diamonds,bělicí zubní pasta s fluoridem Spearmint 75 ml,55,https://www.notino.cz/colgate/max-white-sparkle-diamonds-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/8718951314795_01-o__200402.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Biorepair,Total Protective Repair,pasta obnovující zubní sklovinu,95,https://www.notino.cz/biorepair/total-protective-repair-posilujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048429_01-o__220811.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
